t_days,t_months,r,C,B,F_i,F_n,F_m,E,M,O
182.64,6,0.4898989899,2.190893656,0.08989533389,0.8095544781,0.1860155433,0.005119172434,0.08695218017,0.9821523878,0.2691910576
182.64,6,0.5378787879,2.190846164,0.08989530525,0.8095545255,0.1860155531,0.005119173325,0.08695217665,0.9821523772,0.2691923902
182.64,6,0.5858585859,2.190806439,0.08989527366,0.8095545757,0.186015564,0.005119174516,0.08695217371,0.9821523683,0.2691938765
182.64,6,0.6338383838,2.190772722,0.08989523932,0.8095546298,0.1860155761,0.005119175983,0.08695217123,0.9821523608,0.2691955126
182.64,6,0.6818181818,2.190743748,0.08989520242,0.8095546884,0.1860155892,0.005119177719,0.0869521691,0.9821523543,0.2691972959
182.64,6,0.7297979798,2.190718585,0.08989516313,0.8095547523,0.1860156035,0.005119179723,0.08695216727,0.9821523487,0.2691992242
182.64,6,0.7777777778,2.190696528,0.08989512157,0.8095548219,0.1860156188,0.005119181996,0.08695216566,0.9821523438,0.2692012962
182.64,6,0.8257575758,2.190677037,0.08989507789,0.8095548973,0.1860156351,0.005119184541,0.08695216425,0.9821523394,0.2692035107
182.64,6,0.8737373737,2.190659692,0.08989503219,0.809554979,0.1860156525,0.005119187357,0.086952163,0.9821523356,0.269205867
182.64,6,0.9217171717,2.190644158,0.08989498457,0.809555067,0.186015671,0.005119190447,0.08695216189,0.9821523321,0.2692083644
182.64,6,0.9696969697,2.190630166,0.08989493513,0.8095551615,0.1860156905,0.00511919381,0.0869521609,0.982152329,0.2692110025
182.64,6,1.017676768,2.190617501,0.08989488392,0.8095552625,0.186015711,0.005119197444,0.08695216,0.9821523261,0.2692137811
182.64,6,1.065656566,2.190605982,0.08989483103,0.8095553701,0.1860157325,0.00511920135,0.0869521592,0.9821523235,0.2692167
182.64,6,1.113636364,2.190595464,0.08989477651,0.8095554844,0.1860157551,0.005119205524,0.08695215846,0.9821523212,0.269219759
182.64,6,1.161616162,2.190585821,0.08989472039,0.8095556052,0.1860157786,0.005119209965,0.0869521578,0.982152319,0.2692229582
182.64,6,1.20959596,2.190576951,0.08989466272,0.8095557327,0.1860158032,0.005119214669,0.0869521572,0.982152317,0.2692262975
182.64,6,1.257575758,2.190568766,0.08989460353,0.8095558667,0.1860158287,0.005119219634,0.08695215664,0.9821523152,0.2692297771
182.64,6,1.305555556,2.190561191,0.08989454283,0.8095560073,0.1860158552,0.005119224857,0.08695215614,0.9821523135,0.269233397
182.64,6,1.353535354,2.190554161,0.08989448064,0.8095561543,0.1860158827,0.005119230334,0.08695215567,0.9821523119,0.2692371574
182.64,6,1.401515152,2.190547621,0.08989441696,0.8095563077,0.1860159111,0.005119236061,0.08695215525,0.9821523104,0.2692410584
182.64,6,1.449494949,2.190541523,0.08989435182,0.8095564674,0.1860159404,0.005119242035,0.08695215486,0.9821523091,0.2692451003
182.64,6,1.497474747,2.190535824,0.0898942852,0.8095566333,0.1860159707,0.005119248251,0.0869521545,0.9821523078,0.2692492833
182.64,6,1.545454545,2.190530488,0.0898942171,0.8095568054,0.1860160018,0.005119254704,0.08695215417,0.9821523066,0.2692536076
182.64,6,1.593434343,2.190525483,0.08989414753,0.8095569834,0.1860160338,0.005119261391,0.08695215386,0.9821523054,0.2692580735
182.64,6,1.641414141,2.190520779,0.08989407648,0.8095571674,0.1860160667,0.005119268308,0.08695215358,0.9821523043,0.2692626812
182.64,6,1.689393939,2.190516353,0.08989400395,0.8095573571,0.1860161004,0.005119275448,0.08695215332,0.9821523033,0.2692674311
182.64,6,1.737373737,2.19051218,0.08989392993,0.8095575525,0.1860161349,0.005119282807,0.08695215308,0.9821523024,0.2692723233
182.64,6,1.785353535,2.190508242,0.08989385441,0.8095577534,0.1860161702,0.005119290379,0.08695215286,0.9821523015,0.2692773583
182.64,6,1.833333333,2.190504519,0.08989377739,0.8095579597,0.1860162063,0.005119298161,0.08695215266,0.9821523006,0.2692825363
182.64,6,1.881313131,2.190500996,0.08989369886,0.8095581711,0.1860162431,0.005119306145,0.08695215247,0.9821522998,0.2692878577
182.64,6,1.929292929,2.190497659,0.08989361882,0.8095583877,0.1860162806,0.005119314327,0.0869521523,0.9821522991,0.2692933227
182.64,6,1.977272727,2.190494493,0.08989353727,0.8095586091,0.1860163188,0.005119322701,0.08695215215,0.9821522983,0.2692989316
182.64,6,2.025252525,2.190491488,0.0898934542,0.8095588353,0.1860163576,0.00511933126,0.08695215201,0.9821522976,0.2693046848
182.64,6,2.073232323,2.190488633,0.08989336961,0.809559066,0.1860163971,0.005119339998,0.08695215188,0.982152297,0.2693105826
182.64,6,2.121212121,2.190485917,0.0898932835,0.8095593011,0.1860164372,0.00511934891,0.08695215176,0.9821522963,0.2693166252
182.64,6,2.169191919,2.190483332,0.08989319586,0.8095595405,0.1860164778,0.005119357989,0.08695215165,0.9821522957,0.2693228129
182.64,6,2.217171717,2.190480869,0.0898931067,0.8095597838,0.186016519,0.005119367228,0.08695215156,0.9821522951,0.2693291459
182.64,6,2.265151515,2.190478522,0.08989301602,0.8095600309,0.1860165606,0.00511937662,0.08695215147,0.9821522946,0.2693356245
182.64,6,2.313131313,2.190476283,0.0898929238,0.8095602817,0.1860166027,0.005119386158,0.0869521514,0.9821522941,0.269342249
182.64,6,2.361111111,2.190474146,0.08989283007,0.8095605359,0.1860166452,0.005119395836,0.08695215133,0.9821522936,0.2693490194
182.64,6,2.409090909,2.190472105,0.0898927348,0.8095607933,0.1860166881,0.005119405646,0.08695215127,0.9821522931,0.2693559359
